Loading dataset
Dataset loaded.
Starting training...
                                                                                                                                                                                                                                                                                                             
Epoch 1/1500 | Total Loss: 1.6207 | Recon Loss: 1.6205 | KL Loss: 0.2909
Epoch 100/1500 | Total Loss: 0.6202 | Recon Loss: 0.6063 | KL Loss: 13.9392
Epoch 200/1500 | Total Loss: 0.6161 | Recon Loss: 0.6052 | KL Loss: 10.8464
Epoch 300/1500 | Total Loss: 0.6054 | Recon Loss: 0.5955 | KL Loss: 9.8481
Epoch 400/1500 | Total Loss: 0.5970 | Recon Loss: 0.5870 | KL Loss: 9.9258
Epoch 500/1500 | Total Loss: 0.5908 | Recon Loss: 0.5798 | KL Loss: 11.0115
Epoch 600/1500 | Total Loss: 0.5782 | Recon Loss: 0.5666 | KL Loss: 11.6439
Epoch 700/1500 | Total Loss: 0.5709 | Recon Loss: 0.5577 | KL Loss: 13.1820
Epoch 800/1500 | Total Loss: 0.5222 | Recon Loss: 0.5040 | KL Loss: 18.2210
Epoch 900/1500 | Total Loss: 0.5000 | Recon Loss: 0.4784 | KL Loss: 21.5975
Epoch 1000/1500 | Total Loss: 0.4842 | Recon Loss: 0.4595 | KL Loss: 24.6994
Epoch 1100/1500 | Total Loss: 0.4665 | Recon Loss: 0.4396 | KL Loss: 26.9013
Epoch 1200/1500 | Total Loss: 0.4584 | Recon Loss: 0.4300 | KL Loss: 28.3857
Epoch 1300/1500 | Total Loss: 0.4483 | Recon Loss: 0.4185 | KL Loss: 29.7441
Epoch 1400/1500 | Total Loss: 0.4421 | Recon Loss: 0.4129 | KL Loss: 29.1196
Epoch 1500/1500 | Total Loss: 0.4340 | Recon Loss: 0.4055 | KL Loss: 28.4860
Training complete.
